target_date,vintage,generated_at,backfilled,hour,p_pos,p_big_pos,p_big_neg,p_low_rt,call,tier,confidence,edge,big_pos_watch,big_neg_watch,sbg_watch
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,13,0.574,0.0,0.014,0.004,DART < 0,medium,50.0,8.71,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,14,0.689,0.0,0.008,0.003,DART < 0,low,43.1,2.39,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,15,0.654,0.001,0.014,0.002,DART < 0,low,43.1,2.39,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,16,0.54,0.001,0.021,0.003,DART < 0,medium,50.0,8.71,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,17,0.594,0.003,0.019,0.002,DART < 0,medium,50.0,8.71,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,18,0.699,0.005,0.037,0.003,DART < 0,low,43.1,2.39,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,19,0.764,0.005,0.047,0.001,DART < 0,low,43.1,2.39,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,20,0.753,0.003,0.043,0.002,DART < 0,low,43.1,2.39,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,21,0.667,0.001,0.023,0.002,DART < 0,low,43.1,2.39,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,22,0.684,0.0,0.026,0.004,DART < 0,low,43.1,2.39,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,23,0.705,0.0,0.031,0.003,DART < 0,low,43.1,2.39,False,False,False
2026-09-24,pre_dam,2026-09-23T13:01:55.950825+00:00,False,24,0.649,0.0,0.005,0.003,DART < 0,medium,50.0,8.71,False,False,False
